Название,Дата и время,Место,Описание,Рейтинг,Театр,Актеры,Режиссер,Продолжительность,Теги
Семейка Аддамс,"13 марта, 19:00",Тюменский драматический театр,"Мюзикл, основанный на персонажах Чарльза Аддамса — той самой семейке, которой он дал свою фамилию. Изначально эти странные персонажи появились в журнале The New Yorker в 1938 году.

«Семейка Аддамс» известна и любима публикой по прекрасным экранизациям и конечно нашумевшему бродвейскому мюзиклу, побившему все рекорды. Успех этого мюзикла, безусловно, в самой истории — сумасшедшая семейка Аддамс не может не полюбиться! Папа Аддамс любит долгие прогулки в ненастную погоду. Мама Аддамс считает, что чёрный цвет самый яркий. У детей, Венсдей и Пагсли Аддамсов, кладбище — любимая площадка для игр. Бабушка выпивает пару капель яда перед сном. Вы всё ещё думаете, что ваши родственники странные? Знакомьтесь — семейка Аддамс! И несмотря на свои образы — очень дружная семья. Они с удовольствием шутят, постоянно разыгрывают друг друга, и, кроме того, обладают некоторыми сверхъестественными способностями. Не семья, а просто праздник какой-то! Однако даже в этой очень дружной семейке Аддамс есть свои проблемы и скелеты в шкафу...

Сюжет мюзикла строится вокруг нового увлечения дочери Аддамсов. Венсдей влюбляется в «нормального» молодого человека Лукаса Байнеке, и они хотят устроить «обычный» ужин, чтобы познакомить своих родителей.",9.4,Тюменский драматический театр,"Александр Тихонов, Егор Медведев, Константин Антипин, Софья Илюшина",Дарья Борисова,150 мин.,['Мюзикл']
ДиДюЛя,"1 марта, 19:00",Дворец культуры «Нефтяник»,"ДиДюЛя отправляется в большой тур с новой концертной программой «Голос сфер». ДиДюЛя — композитор и лидер одноимённой группы, которая играет музыку в стилевом диапазоне от нео-фламенко до рока и фолка.

В рамках новой концертной программы музыканты исполнят абсолютно новые произведения, а также лучшие композиции, которые уже стали настоящей классикой инструментальной музыки. Многообразие музыкальных инструментов, стилей и техник игры, живой звук, потрясающий свет, уникально срежиссированный для каждой композиции, поможет каждому зрителю погрузиться в магию волшебных мелодий Маэстро и достичь музыкального Дзена. На концерте со сцены не звучит ни единого слова, так как язык инструментальной музыки понятен абсолюты всем!

«Голос сфер» — это не просто концерт, это — настоящее музыкальное путешествие по странам и континентам, планетам и галактикам, которое оставит незабываемые впечатления у каждого зрителя.",Не найдено,Не найдено,Не найдено,Не найдено,Не найдено,"['Концерт', 'Музыка народов мира', 'Лаундж']"
Слава КПСС,"2 марта, 19:00",Глав клуб (ex. Дом культуры),,Не найдено,Не найдено,Не найдено,Не найдено,Не найдено,"['Концерт', 'Хип-хоп и рэп']"
Илья Соболев,28 февраля 18:30,ДК «Железнодорожник»,"Илья Соболев, один из самых популярных и оригинальных комиков, актёр и ведущий множества популярных проектов, приглашает вас на свой новый стендап-концерт!

В этом концерте Илья объединит невероятные перформансы, абсурдные шутки и экспрессивную шоу-программу. Темы близки каждому, но с подачей Ильи они раскроются совершенно по-новому — всё будет приправлено разрывной импровизацией, сумасшедшими отыгрышами и уникальным юмором.",Не найдено,Не найдено,Не найдено,Не найдено,Не найдено,"['Стендап', 'Шоу', 'Юмор']"
Эпидемия,"16 февраля, 19:00",Дворец культуры «Нефтяник»,"Группа «Эпидемия» представит зрителям большую юбилейную постановку «Эльфийская рукопись: сокровище Энии»!

«Сокровище Энии» — третья часть легендарной музыкальной фэнтези-саги, продолжающая сюжет классической «Эльфийской рукописи» о похождениях всеми любимых героев в уже знакомых сказочных мирах Энии и Ксентарона. В этом году пластинка отмечает свое 10-летие, в честь которого «Эпидемия» подготовила эффектную костюмированную сценическую адаптацию этого концептуального альбома.

Всех пришедших ожидает шоу в лучших традициях классических постановок «Эльфийской рукописи» — группа привезет восемь звездных вокалистов и еще больше сценических боев и световых и видеоинсталляций!

По уже доброй традиции концерт не обойдется без второго отделения — полноценного хит-блока из всех основных боевиков и лирических песен группы, в рамках которого «Эпидемия» исполнит лучшее из своих альбомов и других частей сказочной саги.

До встречи на самом красочном и масштабном шоу!",Не найдено,Не найдено,Не найдено,Не найдено,Не найдено,"['Концерт', 'Метал']"
Concord Orchestra. Симфонические рок-хиты «Человек будущего»,"18 февраля, 19:00",Дворец культуры «Нефтяник»,"Первый в мире танцующий симфонический оркестр Concord Orchestra представляет шоу «Симфонические рок-хиты» Concord Orchestra «Человек будущего». Вы услышите самые лучшие композиции легендарных мировых рок-групп: Metallica, Linkin Park, Nightwish, Muse, Queen, Evanescence, Depeche Mode, A-ha, Europe, The Rasmus, U2, Imagine Dragons и другие. Современные оркестровые аранжировки одновременно окунут вас в ностальгию, унесут в будущее и позволят оказаться на всех рок-концертах любимых групп одновременно!

Шоу «Симфонические рок-хиты» — это больше, чем концерт! Это путешествие по галактике рок-музыки, огненная атмосфера, создаваемая танцующим симфоническим оркестром под мощные барабаны, взрывные гитары и вибрирующие струны скрипок и виолончелей. Это красочное интерактивное шоу с невероятными костюмами, волшебной игрой света, гипнотическим видеорядом премьера которого состоялась в 2021. Шоу с большим успехом посмотрели более 100 000 зрителей.

Отличительная уникальная особенность оркестра:
— музыканты не сидят на стульях, они танцуют со своими инструментами, импровизируют и создают драйв на сцене.
— симфонический оркестр исполняет все композиции на память и без пюпитров.
— световые эффекты и уникальные видео-инсталляции создают атмосферу и делают шоу фантастически ярким.

Зрители шоу станут его участниками — любой человек в зале сможет в реальном времени проголосовать на сайте оркестра concordorchestra.ru и повлиять на финал рок-шоу. Приходи на шоу «Симфонические рок-хиты» Concord Orchestra «Человек будущего».",7.9,Не найдено,Не найдено,Не найдено,Не найдено,"['Концерт', 'Шоу', 'Рок', 'Классическая музыка']"
Оркестр CAGMO. Саундтреки Ханса Циммера при свечах,"15 февраля, 18:00",Дворец культуры «Нефтяник»,"CAGMO представляет концертную программу по мотивам саундтреков самого знаменитого голливудского композитора — «Саундтреки Ханса Циммера при свечах».

С уникальным творчеством Ханса Циммера знаком каждый. Совместная работа с великими режиссёрами, такими как Кристофер Нолан, Ридли Скотт, Гай Ричи и многими другими, позволила композитору создать музыкальные киномиры, покорившие как поклонников кинематографа, так и любителей отличной музыки.

В исполнении струнного оркестра CAGMO прозвучат лучшие саундтреки композитора. Оригинальное звучание композиций, подчёркивающее авторский стиль Ханса Циммера, передаст атмосферу любимых фильмов. Новое прочтение легендарной музыки позволит заново прочувствовать впечатления и эмоции от просмотра эпических кинокартин.

Концертная программа «Саундтреки Ханса Циммера при свечах» объединила в себе захватывающие мелодии из популярных анимационных фильмов и культовых кинокартин, таких как: «Интерстеллар», «Дюна», «Король Лев», «Пираты Карибского моря», «Кунг-фу Панда», «Начало», «Код да Винчи: Ангелы и Демоны», «Звонок», «Шерлок Холмс», «Гладиатор».",7.9,Не найдено,Не найдено,Не найдено,Не найдено,"['Концерт', 'Шоу', 'Классическая музыка', 'Саундтрек']"
Палата бизнес-класса,"17 февраля, 19:00",Дворец культуры «Нефтяник»,"Кризис, эпидемия и холод вгоняют в тоску и хворь? Предлагаем самый мощный антидепрессант — билет на новую комедию-фарс «Палата бизнес-класса» от драматурга Александра Коровкина, автора сценария к популярным телесериалам «Марш Турецкого», «Бедная Настя» и других. Два часа заразительного хохота и полное удовлетворение от торжества справедливости — этого так не хватает нам в повседневной жизни! Не пейте таблетки, покупайте билеты на спектакль! Блистательная игра звезд сатирического жанра, неожиданные повороты сюжета и весьма реалистичные персонажи делают поход на спектакль отличным подарком для всех категорий зрителей.

Обстоятельства сталкивают в больничной палате прожженного коммерсанта после пикантной операции и заслуженного артиста-пенсионера. Бизнесмен не может смириться с вынужденной изоляцией накануне крупной сделки, и провернет ее несмотря на все препятствия. Успешно спрячет любовницу от жены в кровати соседа, вытолкнет мужа любовницы из окна, сделает еще массу безумных поступков и будет изощренно лгать налево и направо! В итоге — полный хеппи-энд и переосмысление настоящих ценностей всеми героями действа!

В составе исполнителей возможны изменения без дополнительного уведомления.",8.4,Антреприза,"Светлана Пермякова, Георгий Мартиросян, Семён Стругачёв, Виктория Заболотная, Дмитрий Аверин, Семён Стругачёв",Семён Стругачёв,150 мин.,"['Спектакль', 'Комедия']"
Девочка и слон,15 февраля 12:00,Цирк,"Шоу слонов Андрея Дементьева-Корнилова «Девочка и слон»

Это сказочный, театрализованный спектакль с участием гигантов суши для детей и взрослых по мотивам рассказа Александра Куприна «Слон». Первая в истории коллаборация цирка и театра.Тонны декораций, необычные спецэффекты, единая сюжетная линия, дизайнерские костюмы и артисты мирового уровня.Вас ждут легендарные слоны династии Корниловых, которые участвовали в многочисленных съемках советского и российского кино, объездили весь мир и теперь будут радовать Кировского зрителя своими трюками, занесенными в книгу рекордов.

В спектакле:
— индийские слоны;
— животные джунглей, спрятанные у девочки в комнате;
— пума, лама, крокодил, верблюды, питоны, пони;
— живые подушки и летающие кровати;
— огромный театр теней;
— страна сладостей;
— гигантские ложки, чашки, тарелки;
— заколдованные лошади;
— клоны, притворившиеся девочкой;
— акробаты;
— воздушные гимнасты;
— барабанщики;
— живая музыка;
— собаки-волшебники и, конечно же, веселый и добрый клоун.

А на десерт мы подготовили для Вас чаепитие со слонами!

Многотонные артистки большую часть времени работают на арене без дрессировщика! Они сами делают трюки и запоминают ход спектакля. Уникальная постановка «Девочка и слон» заставит зрителя по-новому взглянуть на современный цирк.

Главный режиссёр и хореографы обладатели театральной премии «Золотая Маска».

Режиссёр постановщик: детский режиссер-сказочник.

Художественный руководитель: Народная артистка России — Таисия Корнилова.

Дрессировщик слонов: заслуженный артист России, многократный победитель международных фестивалей, а также основатель единственного в России «Парка слонов» в Сочи — Андрей Дементьев-Корнилов.

Окунитесь в загадочный мир чудес и сказок!

Дети младше 3 лет могут посетить представление бесплатно при следующих условиях:
— при наличии документа, подтверждающего возраст ребенка (свидетельство о рождении ребенка или запись в паспорте родителя);
— в сопровождении взрослого с билетом;
— с одним взрослым может прийти только один ребенок;
— без предоставления отдельного места.

На детей с 3 лет приобретается полный билет!",8.4,Росгосцирк / Шоу слонов Андрея Дементьева-Корнилова,Не найдено,Не найдено,120 мин.,"['Цирк', 'Шоу', 'Детям']"
Любовь и голуби,"2 марта, 19:00",Дворец культуры «Нефтяник»,"Всенародно любимая комедия и всенародно любимые актёры в спектакле по пьесе В. Гуркина «Любовь и голуби».

Лиричную, трогательную и невероятно смешную историю любви, измены и прощения вы увидите в исполнении трёх поколений «звёзд» российского театра и кино, от легендарных актёров, любимых с детства, до новых, ярких восходящих «звёзд» (сериалы «Молодёжка» и «Вечный отпуск»). Актёры не только сыграют, но и споют, т.к. история у нас ещё и музыкальная.

Милые комедии из далёкого уже прошлого нужны людям и в наше время. И это правильно. Когда вокруг так много грустного, серого, обыденного, иногда жизненно необходимо на 2 часа окунуться в безвременье, где любовь побеждает мимолётные увлечения. Именно поэтому душевный разговор в музыкальной комедии «Любовь и голуби» Василия Кузякина, Раисы Захаровны, Надежды, дяди Мити и бабы Шуры на сцене — мы предлагаем дорогим зрителям.

Владимир Гуркин сделал всем нам бесценный подарок! Его персонажи учат жить с любовью, не прибегая к нравоучениям и нотациям, с помощью простых, деревенских людей. Через улыбку мы становимся сильными, учась защищать своих любимых, через улыбку учимся прощать самые болезненные предательства, через улыбку верить — любовь ждёт каждого. Эта комедия воспитала наших родителей, нас самих, теперь она ждёт наших детей…

Не стоит раскрывать всех секретов, но песня, особая высшая ступень выражения чувств, вырывается у нас лишь в особенные моменты жизнь. Когда сил нет слово вымолвить, душа рождает музыку.

Дорогие наши друзья, ждём вас на лирической музыкальной комедии В. Гуркина «Любовь и голуби»!

В составе исполнителей возможны изменения без дополнительного уведомления.",8.5,Антреприза,"Михаил Жигалов, Ольга Прокофьева, Раиса Рязанова, Анатолий Журавлёв, Сергей Маховиков, Наталья Громушкина",Василий Мищенко,140 мин.,"['Музыкальный спектакль', 'Спектакль', 'Комедия']"
