Название,Место,Описание,Теги
"Элементарно, Хадсон! Дело о собаке Б.",Театр «Маска»,"Для поклонников Шерлока Холмса, музыкальных комедий и четвероногих друзей человека — премьера сезона от создателей хитового мюзикла «Ничего не бойся, я с тобой»!

В семейной музыкальной комедии с авантюрно-детективным сюжетом история о собаке Баскервилей предстанет перед зрителями в совершенно новом свете. Будут любимые герои — от Холмса с Ватсоном до Бэрримора с овсянкой, будут профессор Мориарти и миссис Хадсон, сэр Генри и музыкальная банда «Союз рыжих», интриги, тайны и неожиданная головокружительная развязка! Весёлую и динамичную постановку для всей семьи «Элементарно, Хадсон! Дело о собаке Б.» придумала и создала театральная компания «Бродвей Москва», поставившая под руководством продюсера Дмитрия Богачева множество театральных суперхитов.

Продолжительность — ориентировочно 1 час 40 минут без антракта.","['Музыкальный спектакль', 'Шоу', 'Комедия']"
Сказка о золотой рыбке,Большой Московский цирк,"В новогоднем сезоне Большой Московский цирк представит зрителям невероятный спектакль «Сказка о золотой рыбке», созданный на основе знаменитого произведения Александра Сергеевича Пушкина. Это яркое представление объединяет в себе классические элементы сказки и захватывающие цирковые номера, создавая волшебную атмосферу, которую оценят, как взрослые, так и дети.

Сюжет спектакля повествует о бедном старике, жизнь которого кардинально изменилась в тот момент, когда он поймал золотую рыбку, исполняющую желания. Однако, как и в каждой сказке, зрителей ожидают непредсказуемые повороты истории.

На манеже развернется захватывающее действо: выступят лучшие цирковые артисты с завораживающими трюками, большое разнообразие животных, все номера будет сопровождать уникальный балет Большого Московского цирка. Главные роли сыграют народные артисты России Эдгард и Аскольд Запашные.

Костюмы героев заслуживают особого внимания, они великолепно подчеркивают удивительную атмосферу сказки. Яркие цвета и сверкающие элементы создают ощущение новогоднего чуда. Посетители Большого Московского цирка погрузятся в мир, где реальность теряет свои четкие границы, а волшебство сливается с повседневной обыденностью.

Представление завершится грандиозным финалом, который оставит зрителей в полном восторге и даст возможность задуматься над моралью классической истории. Этот спектакль напомнит о том, что истинное счастье не всегда заключается в материальных благах.

Не упустите возможность увидеть, как на сцене оживет эта поучительная сказка, полная приключений и неожиданных поворотов. Вместе с героями вы сможете пережить все эмоции — от радости и смеха до глубокой философии о желаниях и их последствиях.","['Цирк', 'Шоу', 'Детям']"
Dababy,VK Stadium,"Впервые в России, эксклюзивно на сцене, американская hip-hop легенда DaBaby обещает подарить поклонникам незабываемое шоу, полное энергии, драйва и любимых хитов.

DaBaby стремительно ворвался на мировую сцену и завоевал сердца миллионов слушателей. Его треки, такие как Suge, Bор, и Rockstar , стали настоящими гимнами для поклонников хип-хопа. А фит Levitating с Dua Lipa заполонил эфиры большинства радиостанций. Каждый трек DaBaby имеет миллионы прослушиваний на стриминговых платформах, общая аудитория артиста насчитывает миллиарды прослушиваний по всему миру. В январе 2025 DaBaby порадовал свою аудиторию свежим треком HIM .

Его уникальный стиль, харизма и умение рассказывать истории через музыку сделали его одним из самых востребованных артистов современности. DaBaby известен своими зажигательными выступлениями, которые превращают каждый концерт в уникальное событие.","['Концерт', 'Хип-хоп и рэп']"
Мамма мимо! или Мюзикл пошёл не так,Театр «Маска»,"Что будет, если объединить знаменитый мюзикл группы «АББА» Mamma Mia! с историей из нашей российской жизни, полной неожиданных поворотов и уморительных ситуаций? Получится «Мамма мимо! или Мюзикл пошёл не так» — музыкальное, оригинальное и безумно смешное шоу с пародиями на мировые хиты.

Завязка проста и эффектна. К годовщине свадьбы шеф крупного предприятия заказывает у народного театра мюзикл, основанный на песнях группы «АББА». Команда с энтузиазмом принимается за дело, но в день премьеры начинается нечто невообразимое. Исполнительница главной роли неожиданно попадает в больницу, а сюжет, слова и музыку приходится менять на ходу. Что же ждёт зрителей, когда откроется занавес?

Новый мюзикл даёт уникальную возможность оказаться за кулисами, услышать любимые песни в новом пародийном ключе и стать свидетелем постановки спектакля практически в режиме реального времени.

Мюзикл «Мамма мимо!» — яркая премьера МДМ и команды театральной компании «Бродвей Москва» Дмитрия Богачева, известного своими театральными суперхитами: мюзиклами «Ничего не бойся, я с тобой», «Шахматы», «Призрак Оперы», Mamma Mia! и многими другими. Премьера состоялась на новой сцене МДМ — в театре «Маска».

Успейте купить билеты на премьерные показы! Отдохните на все сто с музыкальной комедией «Мамма мимо! или Мюзикл пошёл не так» — с улыбкой и отличной музыкой.","['Мюзикл', 'Шоу', 'Комедия']"
Stand-up & Action,в 4 местах,"Три секретных комика (StandUp на ТНТ, Comedy Club, Comedy Баттл) + Jazz концерт.

Вход строго 18+.

Яркая программа, которая стартует с часового сета живой джазовой музыки и продолжается выступлением трех профессиональных стендап-комиков. Таким образом Вы посетите сразу два концерта в один вечер.
Мы гордимся своими музыкантами и комиками и уверены, что Вы получите море положительных эмоций.

Общая продолжительность ивента — 2–2.5 часа. Еда и напитки оплачиваются отдельно.

Билеты входные с привязкой к определённому столику или месту — менеджер зала комфортно разместит Вас в соответствии с купленным билетом.
Возможно размещение с другими гостями за одним столом!","['Стендап', 'Шоу', 'Концерт', 'Юмор', 'Джаз и блюз']"
Последняя сказка,Московский дворец молодёжи,"Захватывающее и необычайно зрелищное путешествие в мир сказочного Востока — с роскошными дворцами, колоритными базарами, величественным караваном, полётом на ковре-самолёте и суперхитом Таркана.

Молодая пара из современной Москвы неожиданно попадает во вселенную Шахерезады — здесь, среди невероятных чудес и приключений, герои встретятся с Аладдином, Джинном, Али-Бабой и другими персонажами «Тысячи и одной ночи», благодаря которым смогут разобраться в себе и заново влюбиться друг в друга.

Продолжительность: 3 часа, включая один антракт.

Подробнее о событии:

Мировая премьера мюзикла «Последняя сказка» на большой сцене театра МДМ в декабре 2024 года! Мюзикл перенесёт зрителей на Восток, в волшебный мир, знакомый нам по сказкам Шахерезады. История, которую представят в МДМ, — тоже сказка, причём, сказка для взрослых, — редкий жанр. «Последняя сказка» свяжет современность с далёкой и волшебной экзотикой, ведь в мюзикле возможно всё, если речь идёт о любви!

В центре захватывающей и авантюрной истории — молодая пара наших современников: Макс и его девушка Женя. Они любят друг друга, но иногда что-то идёт не так. Мелочь цепляется за мелочь, ссора за ссору, и оказывается, что в какой-то момент влюблённых разделяет стена непонимания. Житейская история, в которой спасти отношения может только чудо… И оно случается! Мюзикл — это всегда щепотка волшебства, благодаря которой всё вокруг расцветает яркими красками. Вот и тут, по воле судьбы (или случая), герои оказываются в мире, знакомом нам всем по восточным сказкам и фильмам, наполненном узкими улочками, восточными дворцами, богатыми караванами и шумными базарами. В мире авантюрных приключений, экзотических героев и настоящих чудес. Цепь приключений приводит Макса и Женю на встречи с могущественным султаном и Шахерезадой, Джинном, Али-Бабой, Аладдином и другими персонажами. Неожиданные ситуации, в которые попадают герои, помогут им разобраться в своих чувствах и лучше понять подлинные желания — свои и друг друга.

Над постановкой «Последней сказки» работало театральное агентство «Бродвей Москва». Благодаря этой суперкоманде под руководством продюсера Дмитрия Богачёва российские зрители познакомились с мировой классикой мюзикла, от «Призрака Оперы» до «Чикаго», от «Шахмат» до «Mamma Mia!». В последние годы «Бродвей Москва» создаёт уникальные российские премьеры, — прежде всего, это мюзикл «Ничего не бойся, я с тобой» на музыку группы «Секрет», который стал настоящим суперхитом. Постановки команды увидело уже более миллиона зрителей!

«Последняя сказка» — оригинальный мюзикл, созданный для российского зрителя. Продюсером, автором творческой концепции и сюжета мюзикла стал сам Дмитрий Богачёв. Музыку к «Последней сказке» создал Евгений Загот, композитор мюзиклов «Винил», «Декабристы», «Остров сокровищ» и многих других, автор музыки к кинофильмам, создатель и аранжировщик песен и программ для таких звёзд, как Лариса Долина, Александр Панайотов, Дима Билан, «Хор Турецкого» и других.

Восточный колорит в мюзикле «Последняя сказка» создаст и хит Şıkıdım звезды турецкой эстрады Таркана.

Над хореографией «Последней сказки» работала Ирина Кашуба, балетмейстер-постановщик спектакля «Суини Тодд, маньяк-цирюльник с Флит-Стрит» в Театре на Таганке, а также целой россыпи мюзиклов на сцене МДМ: «Шахматы», «Первое свидание», «День влюблённых», «Ничего не бойся, я с тобой». Также в активе Ирины Кашубы — хореография в мировой премьере мюзикла «Семейка Аддамс» в Тюменском БДТ (9 номинаций на «Золотую маску») и другие хитовые проекты.

Масштабное современное театральное шоу предполагает множество ярких визуальных решений. Мюзикл «Последняя сказка» станет исключительным по великолепию зрелищем, чего только стоит полёт к своей мечте на ковре-самолёте!

Купить билеты на премьеру мюзикла «Последняя сказка» в МДМ можно уже сейчас.","['Мюзикл', 'Шоу']"
Stand-up в Москве,в 4 местах,"Stand Up концерт в Москве — это легендарные вечеринки от Patriki Concert, где выступают популярные комики с лучшими шутками! Состав секретный и всегда разный — всю актуальную информацию по концерту можно узнать в нашем Телеграм канале t.me/standupinmoscow

Внимание! Указано время сбора гостей — за 30 минут до начала программы! Вход строго 18+, на некоторых площадках могут спросить паспорт! Также обращаем ваше внимание, что программы лояльности, возможные скидки и акции, актуальные во время обычной работы заведений, могут не работать во время проведения концерта. Уточняйте информацию в заведениях, перед покупкой билетов.

Все билеты привязаны к определённому столику или месту в зале и менеджер комфортно разместит Вас в соответствии с купленным билетом. Возможно размещение с другими гостями за одним столом, поэтому если вы идёте компанией, рекомендуем приобретать билеты на одно имя или связаться с нами, чтобы мы объединили компании — наши контакты есть в соц.сетях и на сайте организатора.","['Стендап', 'Шоу', 'Юмор']"
Преступление и наказание,Особняк «Дашков 5»,"Купить билет с открытой датой.

Иммерсивная драма «Преступление и наказание» на Дашков 5, где у каждого зрителя получается своя уникальная история — ведь от вашего выбора зависит, как повернётся сюжет. Действие постановки разворачивается одновременно в разных частях исторического Особняка. Зритель становится активным наблюдателем с полной свободой перемещения, вольный выбирать собственный путь, создавать уникальную историю через призму постоянно меняющегося личного опыта с каждым новым визитом. Следовать за зовом сердца, изучать комнату за комнатой или позволить одному из героев поведать свою историю — решать только вам.

Погружение в атмосферу дарит гостю возможность испытать весь спектр эмоций, по-новому взглянуть и переосмыслить как происходящее в спектакле, так и в жизни, расширить чувственное восприятие, принять важные решения и принять себя. Интерьеры насыщены огромным количеством значимых деталей, время и пространство здесь нелинейно, как мысли главного героя, а музыка, выразительная хореография и вокал расставляют неожиданные акценты, увлекая всё глубже и глубже в метафорические улицы и дворы-колодцы Петербурга.

Шоу основано на романе Фёдора Михайловича Достоевского «Преступление и наказание», а для знатоков припрятаны отсылки к «Братьям Карамазовым», «Идиоту», «Запискам из подполья» и «Дневнику писателя». Контекст философии 19 века дополнят тексты Фридриха Ницше и Владимира Соловьёва.

Иммерсивная драма в Особняке Дашков 5 тесно связана с сериалом «Преступление и наказание», премьера которого состоится на Кинопоиске в 2024 году. Сюжетные линии в спектакле и на экране будут перекликаться и взаимно дополнять друг друга, раскрывая глубокий психологизм литературной основы через различные творческие приёмы. И в постановке, и в одноимённом сериале задействованы не все герои романа, зато есть персонажи, которых нет в оригинале.

Продюсеры шоу — Особняк Дашков 5 и Плюс Студия, генеральный билетный партнёр — Яндекс Афиша.

Возрастное ограничение: 18+ (строго), при входе необходимо предъявить паспорт. Несовершеннолетние в сопровождении взрослых также не допускаются.

Информация о билетах:

Входной билет: Действие разворачивается одновременно на четырех этажах старинного особняка в центре Москвы. Вы как зритель сами решаете, какой спектакль вы увидите сегодня. Чем раньше вы зайдете в дом, тем больше сможете увидеть.

VIP-билет: Ваше путешествие начнется в отдельной комнате с угощениями, а перед самым началом шоу вас встретит проводник из мира героев. Вместе с проводником вы первыми начнете погружение в мир Особняка.","['Иммерсивный театр', 'Шоу', 'Экспериментальный театр', 'Драма']"
ГМИИ им. А. С. Пушкина. Выставки и постоянная экспозиция,ГМИИ им. А. С. Пушкина,"Комплексный билет дает право посещения всех выставок и постоянной экспозиции Главного здания и Галереи искусства стран Европы и Америки XIX–XX веков в удобное время в день, указанный на билете.

Покупая билет и планируя время посещения, убедитесь, что успеете осмотреть все интересные вам экспозиции до закрытия музея. Вход прекращается за 1 час до закрытия музея, залы начинают закрываться за 15 минут до окончания работы музея. Льготный билет требует обязательного предъявления на контроле документа, подтверждающего право на льготу.

Пушкинский музей насчитывает в своем фонде около 700 000 оригинальных произведений, созданных мастерами разных эпох, — от Древнего Египта и античной Греции до наших дней. В Главном здании представлены знаковые произведения Рембрандта, Рубенса, Боттичелли и других выдающихся художников. Основу постоянной экспозиции Галереи составляют шедевры французского импрессионизма, постимпрессионизма и авангардных течений начала XX столетия.

Выставки, которые можно осмотреть по билету:

Выставка «Неизвестный Щукин. Не только новое искусство». Сергей Иванович Щукин известен на весь мир собранием нового искусства — импрессионистов, Гогена, Сезанна, Матисса, Пикассо, Дерена. Однако недавно проведенные Государственным музеем изобразительных искусств имени А. С. Пушкина исследования установили, что дом мецената также наполняли произведения старых мастеров, памятники Древнего Египта, цивилизаций Востока, предметы из фарфора, древние русские иконы. Проект «Неизвестный Щукин. Не только новое искусство» представляет Сергея Ивановича в совершенно ином свете, а также рассказывает о забытых частях разнопланового собрания коллекционера и его семьи. Масштабное архивное исследование позволило реконструировать наследие во всей полноте.

Даты и место проведения: 26 ноября 2024 года — 16 марта 2025 года, Галерея искусства стран Европы и Америки (ул. Волхонка, 14).

Выставка «Загадки Пиковой Дамы. Фамильная галерея князей Голицыных в миниатюре». Выставка посвящена атрибуции 19 портретных миниатюр, которые происходят из усадьбы князей Голицыных Большие Вязёмы. Ранее считалось, что многие миниатюры служили декоративным дополнением к портретам родных князя Бориса Голицына — владельца усадьбы. Однако недавние исследования позволили связать все произведения с фигурой его матери, княгини Натальи Петровны Голицыной. Атрибуция портретных миниатюр дала возможность приоткрыть завесу тайны над историей этой семьи и узнать больше о жизни и характере знаменитой княгини, ставшей прототипом главной героини повести А. С. Пушкина «Пиковая дама».

Даты и место проведения: 22 октября 2024 года — 9 марта 2025 года, Главное здание (ул. Волхонка, 12).
Выставка «Возвращение воина. Уникальная италийская фреска IV в. до н.э. из собрания Воронежского областного художественного музея имени И. Н. Крамского». Проект впервые демонстрирует фреску широкой публике и рассказывает о пути ценного античного экспоната — от гробницы-цисты на юге Италии до реставрационной мастерской Всероссийского художественного научно-реставрационного центра имени академика И. Э. Грабаря.

Даты и место проведения: 4 февраля 2025 года — 30 марта 2025 года, Главное здание (ул. Волхонка, 12).

График работы:
вт–ср 11:00–20:00, вход до 19:00
чт–пт 11:00–21:00, вход до 20:00
сб–вс 11:00–20:00, вход до 19:00
пн — выходной
Об организаторе:
ГМИИ им. А.С. Пушкина
119019, г. Москва, Волхонка ул., д.12
ИНН 7704018416","['Выставка', 'Живопись']"
Антигравитация,ДК им. Горбунова,"В метафорическое путешествие по волшебным мирам зрителей приглашают режиссёр, солист Цирк Дю Солей Андрей Кольцов и автор, художественный руководитель проекта Нина Чусова. Завораживающие воздушные трюки за пределами возможностей человеческого тела в исполнении титулованных российских спортсменов и русских артистов из du Soleil, современная хореография, графика с эффектом присутствия на экране площадью 100 квадратных метров, передовые шоу-технологии — все это воплощено на сцене и над ней.

«Антигравитация» — это масштабное мультимедийное театрально-цирковое шоу от солиста Цирк Дю Солей! В основе сюжета — повесть-притча Ричарда Баха «Чайка по имени Джонатан Ливингстон», книга-бестселлер, философская глубина которой неисчерпаема. Чайка Джонатан Ливингстон — символ стремления к самосовершенствованию, не ограниченному ничем. Нарушив законы Стаи, Джонатан столкнулся с осуждением и непониманием. Его изгнали, но и в одиночестве он продолжил путь к мечте. Разбив стереотипы, разорвав путы, сковывающие мысли и тело, он не только достиг вершин мастерства полета, но и воплотил идею абсолютной свободы, постиг любовь в ее наивысшем понимании.

Читайте и слушайте повесть-притчу «Чайка Джонатан Ливингстон» в Букмейте. Возвращайтесь в знакомые истории так, как удобно: с телефона или со Станции дома, офлайн, с удобными настройками чтения и плеера.

Человек всегда мечтал научиться летать словно птица — оторваться от земли и, вопреки закону притяжения, парить! Вознестись над обыденным миром и устремиться к новым жизненным смыслам. «Что я могу в воздухе?» — этим вопросом задавался и Джонатан Ливингстон, его сакральные смыслы взволновали постановщиков и артистов шоу-спектакля «Антигравитация».

Шоу-полет создано в новом синтетическом жанре, у которого нет аналогов. В нем соединены акробатическое искусство, современная хореография, передовые высокие технологии, мультимедийные декорации, графика CGI с эффектом присутствия. Медиаэкран площадью 100 кв. метров с острым углом наклона делает пространства реалистичными: вместе с героями спектакля зритель оказывается у подножия горы, в бесконечном небе, в глубинах бездонного океана и внутри всеразрушающего торнадо. Взаимодействие артистов с видеорядом создает поразительные эффекты и оптические иллюзии. Нестандартные визуальные решения буквально затягивают публику внутрь событий, позволяют ей очутиться в мире, где нарушены законы гравитации, и вместе с героями постановки испытать незабываемое чувство полёта, безграничной свободы, абсолютного счастья!

В волшебных мирах, которые открывает «Антигравитация», не нужны слова — здесь другой язык: язык аллегорий, эмоций, пластики тела и, конечно же, музыки, которая дополняет атмосферу и отображает внутренние состояния персонажей. В оригинальную рок-фактуру, сочиненную композитором Александром Гусевым, включены хиты группы «Ария». Такие песни, как «Потерянный рай», «Возьми мое сердце», «Осколок льда», «Беспечный ангел», «Воля и разум», органично вплетаются в смыслы шоу и являются связующим звеном между ультрасовременной постановкой и культовой «Горбушкой». Под них раскручивают землю и взмывают в небо чемпионы мира по акробатике, воздушные гимнасты и лучшие артисты современной танцевальной сцены.

Продолжительность: 90 минут с антрактом.","['Шоу', 'Цирк', 'Пластический спектакль', 'Концерт', 'Экспериментальный театр']"
